date,interval,data_type,key
2026-06-12,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-12.zip
2026-06-13,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-13.zip
2026-06-14,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-14.zip
2026-06-15,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-15.zip
2026-06-16,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-16.zip
2026-06-17,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-17.zip
2026-06-18,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-18.zip
2026-06-19,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-19.zip
2026-06-20,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-20.zip
2026-06-21,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-21.zip
2026-06-22,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-22.zip
2026-06-23,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-23.zip
2026-06-24,daily,aggTrades,data/spot/daily/aggTrades/SPCXBUSDT/SPCXBUSDT-aggTrades-2026-06-24.zip
