date,interval,data_type,key
2020-02-01,monthly,aggTrades,data/spot/monthly/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02.zip
2020-02-19,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-19.zip
2020-02-20,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-20.zip
2020-02-21,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-21.zip
2020-02-22,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-22.zip
2020-02-23,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-23.zip
2020-02-24,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-24.zip
2020-02-25,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-25.zip
2020-02-26,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-26.zip
2020-02-27,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-27.zip
2020-02-28,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-28.zip
2020-02-29,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-02-29.zip
2020-03-01,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-01.zip
2020-03-01,monthly,aggTrades,data/spot/monthly/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03.zip
2020-03-02,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-02.zip
2020-03-03,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-03.zip
2020-03-04,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-04.zip
2020-03-05,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-05.zip
2020-03-06,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-06.zip
2020-03-07,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-07.zip
2020-03-08,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-08.zip
2020-03-09,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-09.zip
2020-03-10,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-10.zip
2020-03-11,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-11.zip
2020-03-12,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-12.zip
2020-03-13,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-13.zip
2020-03-14,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-14.zip
2020-03-15,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-15.zip
2020-03-16,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-16.zip
2020-03-17,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-17.zip
2020-03-18,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-18.zip
2020-03-19,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-19.zip
2020-03-20,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-20.zip
2020-03-21,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-21.zip
2020-03-22,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-22.zip
2020-03-23,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-23.zip
2020-03-24,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-24.zip
2020-03-25,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-25.zip
2020-03-26,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-26.zip
2020-03-27,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-27.zip
2020-03-28,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-28.zip
2020-03-29,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-29.zip
2020-03-30,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-30.zip
2020-03-31,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-03-31.zip
2020-04-01,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-01.zip
2020-04-01,monthly,aggTrades,data/spot/monthly/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04.zip
2020-04-02,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-02.zip
2020-04-03,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-03.zip
2020-04-04,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-04.zip
2020-04-05,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-05.zip
2020-04-06,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-06.zip
2020-04-07,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-07.zip
2020-04-08,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-08.zip
2020-04-09,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-09.zip
2020-04-10,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-10.zip
2020-04-11,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-11.zip
2020-04-12,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-12.zip
2020-04-13,daily,aggTrades,data/spot/daily/aggTrades/STRATBNB/STRATBNB-aggTrades-2020-04-13.zip
