date,interval,data_type,key
2026-06-04,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-04.zip
2026-06-05,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-05.zip
2026-06-06,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-06.zip
2026-06-07,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-07.zip
2026-06-08,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-08.zip
2026-06-09,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-09.zip
2026-06-10,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-10.zip
2026-06-11,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-11.zip
2026-06-12,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-12.zip
2026-06-13,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-13.zip
2026-06-14,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-14.zip
2026-06-15,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-15.zip
2026-06-16,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-16.zip
2026-06-17,daily,aggTrades,data/spot/daily/aggTrades/USDTAED/USDTAED-aggTrades-2026-06-17.zip
