date,interval,data_type,key
2026-03-01,monthly,aggTrades,data/spot/monthly/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03.zip
2026-03-01,monthly,trades,data/spot/monthly/trades/XAUTBTC/XAUTBTC-trades-2026-03.zip
2026-03-26,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-26.zip
2026-03-27,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-27.zip
2026-03-28,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-28.zip
2026-03-29,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-29.zip
2026-03-30,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-30.zip
2026-03-31,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-03-31.zip
2026-04-01,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-01.zip
2026-04-02,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-02.zip
2026-04-03,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-03.zip
2026-04-04,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-04.zip
2026-04-05,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-05.zip
2026-04-06,daily,aggTrades,data/spot/daily/aggTrades/XAUTBTC/XAUTBTC-aggTrades-2026-04-06.zip
