date,interval,data_type,key
2026-06-01,monthly,aggTrades,data/spot/monthly/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06.zip
2026-06-01,monthly,trades,data/spot/monthly/trades/XLMUSD1/XLMUSD1-trades-2026-06.zip
2026-06-23,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-23.zip
2026-06-24,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-24.zip
2026-06-25,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-25.zip
2026-06-26,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-26.zip
2026-06-27,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-27.zip
2026-06-28,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-28.zip
2026-06-29,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-29.zip
2026-06-30,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-06-30.zip
2026-07-01,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-07-01.zip
2026-07-02,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-07-02.zip
2026-07-03,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-07-03.zip
2026-07-04,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-07-04.zip
2026-07-05,daily,aggTrades,data/spot/daily/aggTrades/XLMUSD1/XLMUSD1-aggTrades-2026-07-05.zip
