date,interval,data_type,key
2026-02-02,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-02.zip
2026-02-03,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-03.zip
2026-02-04,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-04.zip
2026-02-05,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-05.zip
2026-02-06,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-06.zip
2026-02-07,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-07.zip
2026-02-08,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-08.zip
2026-02-09,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-09.zip
2026-02-10,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-10.zip
2026-02-11,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-11.zip
2026-02-12,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-12.zip
2026-02-13,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-13.zip
2026-02-14,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-14.zip
2026-02-15,daily,aggTrades,data/spot/daily/aggTrades/ZAMAUSDT/ZAMAUSDT-aggTrades-2026-02-15.zip
