date,interval,data_type,key
2025-12-01,monthly,aggTrades,data/spot/monthly/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12.zip
2025-12-01,monthly,trades,data/spot/monthly/trades/ZECUSD1/ZECUSD1-trades-2025-12.zip
2025-12-24,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-24.zip
2025-12-25,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-25.zip
2025-12-26,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-26.zip
2025-12-27,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-27.zip
2025-12-28,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-28.zip
2025-12-29,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-29.zip
2025-12-30,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-30.zip
2025-12-31,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2025-12-31.zip
2026-01-01,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-01.zip
2026-01-02,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-02.zip
2026-01-03,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-03.zip
2026-01-04,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-04.zip
2026-01-05,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-05.zip
2026-01-06,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-06.zip
2026-01-07,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-07.zip
2026-01-08,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-08.zip
2026-01-09,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-09.zip
2026-01-10,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-10.zip
2026-01-11,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-11.zip
2026-01-12,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-12.zip
2026-01-13,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-13.zip
2026-01-14,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-14.zip
2026-01-15,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-15.zip
2026-01-16,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-16.zip
2026-01-17,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-17.zip
2026-01-18,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-18.zip
2026-01-19,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-19.zip
2026-01-20,daily,aggTrades,data/spot/daily/aggTrades/ZECUSD1/ZECUSD1-aggTrades-2026-01-20.zip
