date,interval,data_type,key
2025-11-01,monthly,aggTrades,data/spot/monthly/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-11.zip
2025-11-01,monthly,trades,data/spot/monthly/trades/ZILIDR/ZILIDR-trades-2025-11.zip
2025-11-29,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-11-29.zip
2025-11-30,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-11-30.zip
2025-12-01,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-01.zip
2025-12-02,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-02.zip
2025-12-03,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-03.zip
2025-12-04,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-04.zip
2025-12-05,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-05.zip
2025-12-06,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-06.zip
2025-12-07,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-07.zip
2025-12-08,daily,aggTrades,data/spot/daily/aggTrades/ZILIDR/ZILIDR-aggTrades-2025-12-08.zip
